Geneid	data/control.bam	data/control2.bam	data/control3.bam	data/silenced.bam	data/silenced2.bam	data/silenced3.bam
ENSG00000186827	0	0	0	0	0	0
ENSG00000186891	0	0	0	0	0	0
ENSG00000160072	146	146	130	156	151	163
ENSG00000260179	3	0	1	0	0	0
ENSG00000234396	0	0	0	0	0	0
ENSG00000225972	3	7	3	4	3	1
ENSG00000224315	0	0	0	0	0	0
ENSG00000198744	27	31	22	29	17	18
ENSG00000279928	0	0	0	0	0	0
ENSG00000228037	0	0	0	0	0	0
ENSG00000142611	4	6	3	12	9	7
ENSG00000225630	1009	956	1039	1173	1217	1037
ENSG00000131584	103	128	109	147	122	151
ENSG00000227589	0	0	0	0	0	0
ENSG00000237402	0	1	1	1	1	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000169972	63	90	89	65	72	65
ENSG00000157911	122	142	144	150	156	180
ENSG00000269896	11	19	25	22	15	23
ENSG00000237973	2270	2582	2721	2374	2677	2374
ENSG00000224051	129	179	197	216	179	185
ENSG00000228463	0	1	3	2	0	1
ENSG00000260972	0	0	0	0	0	0
ENSG00000157933	556	688	604	599	632	609
ENSG00000162591	239	272	255	437	361	356
ENSG00000224340	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	0
ENSG00000169962	2	0	0	0	0	2
ENSG00000226545	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0
ENSG00000268663	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000116285	5730	5293	5351	6864	6625	6127
ENSG00000229280	0	0	0	0	0	0
ENSG00000142655	301	320	393	328	357	415
ENSG00000232596	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000284646	0	0	0	0	0	0
ENSG00000240409	1	1	0	0	0	0
ENSG00000229344	11	9	3	11	10	10
ENSG00000231510	0	0	0	0	0	0
ENSG00000149527	12	20	18	32	16	25
ENSG00000284739	0	0	0	0	0	0
ENSG00000171621	395	458	506	506	486	542
ENSG00000272235	0	0	0	0	0	0
ENSG00000236679	1	2	0	0	0	1
ENSG00000284694	0	0	0	0	0	0
ENSG00000162441	962	909	909	974	878	913
ENSG00000230021	2	1	1	2	0	0
ENSG00000271264	0	0	0	0	0	0
ENSG00000287356	3	7	3	3	6	2
ENSG00000224387	0	0	0	0	0	0
ENSG00000285629	0	0	0	0	0	0
ENSG00000173673	0	0	0	0	0	0
ENSG00000227372	120	101	104	131	107	135
ENSG00000142583	0	0	0	0	0	0
ENSG00000223663	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0
ENSG00000272161	1	0	0	0	0	0
ENSG00000237094	1	2	1	2	4	1
ENSG00000224338	0	0	0	0	0	0
ENSG00000074800	35568	42287	44643	40443	40116	44612
ENSG00000116786	884	1042	1100	1097	1007	1189
ENSG00000287727	0	0	0	0	0	0
ENSG00000176022	224	251	275	287	251	281
ENSG00000223989	0	0	0	0	0	0
ENSG00000228423	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	0
ENSG00000162496	31	46	58	36	40	47
ENSG00000237365	0	0	0	0	0	0
ENSG00000131686	3	4	3	1	7	2
ENSG00000229305	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0
ENSG00000226457	3	4	3	2	1	2
